NO,KODE BARANG,REG,NAMA BARANG / JENIS BARANG,UKURAN CC,SATUAN,TAHUN PEMBELIAN,BAHAN,MERK, TYPE,Tanggal & No BAST,, HARGA (Rp.) ,SUMBER DANA,Kondisi Barang,,,Masuk Dalam KIB,,PENGEMBANG,KEBERADAAN BARANG,
20,132190103003,,Matras/Kasur,2,Buah,2021,Busa,,,15-10-2021,1407/-073.61," 1,810,600 ",BOS TW 4,Baik,-,-,Ya,,CV.EDUTAMA SINERGI,Di TU,
,,,,,,,,,,,,,,,,,,,,,
1,05.17.01.09.000,, PPKN Kurikulum 2013 ,252,Buah,2018,Kertas,,Buku Pelajaran,,," 2,646,000 ",BOS TW 2,Baik,-,-,,,,0,
2,05.17.01.09.001,,"  Bahasa Indonesia Kelas XII
Semester 1 Kurikulum 2013 ",252,Buah,2018,Kertas,,Buku Pelajaran,,," 3,679,200 ",BOS TW 2,Baik,-,-,,,,Di Siswa,
3,05.17.01.09.002,," Bahasa Inggris Kelas XII
Kurikulum 2013 ",252,Buah,2018,Kertas,,Buku Pelajaran,,," 3,124,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,
4,05.17.01.09.003,, Seni Budaya Kelas XII Semester 1 Kurikulum 2013 ,252,Buah,2018,Kertas,,Buku Pelajaran,,," 3,754,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,
5,05.17.01.09.004,, Seni Budaya Kelas XII  Semester 2 Kurikulum 2013 ,252,Buah,2018,Kertas,,Buku Pelajaran,,," 3,502,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,
6,05.17.01.09.005,," Sejarah Indonesia  Kelas XII
Kurikulum 2013 ",252,Buah,2018,Kertas,,Buku Pelajaran,,," 4,258,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,
1,05.17.01.09.007,, MATEMATIKA KELAS XII ,182,Buah,2019,Kertas,,Buku Pelajaran,,," 16,380,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
2,05.17.01.09.008,, SEJARAH KELAS XII ,74,Buah,2019,Kertas,,Buku Pelajaran,,," 7,400,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
3,05.17.01.09.009,, AGAMA HINDU KELAS XI ,3,Buah,2019,Kertas,,Buku Pelajaran,,," 85,200 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
4,05.17.01.09.010,, AGAMA ISLAM KELAS XI ,219,Buah,2019,Kertas,,Buku Pelajaran,,," 3,306,900 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
5,05.17.01.09.011,, AGAMA KHATOLIK KELAS XI ,10,Buah,2019,Kertas,,Buku Pelajaran,,," 135,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
6,05.17.01.09.012,, AGAMA KRISTEN  KELAS XI ,23,Buah,2019,Kertas,,Buku Pelajaran,,," 264,500 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
7,05.17.01.09.013,, MATEMATIKA  KELAS XI ,255,Buah,2019,Kertas,,Buku Pelajaran,,," 5,941,500 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
8,05.17.01.09.014,, PENJASORKES KELAS XI ,255,Buah,2019,Kertas,,Buku Pelajaran,,," 5,278,500 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
9,05.17.01.09.015,, PRAKARYA SEMESTER 1 KELAS XI ,255,Buah,2019,Kertas,,Buku Pelajaran,,," 4,437,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
10,05.17.01.09.016,, PRAKARYA SEMESTER 2 KELAS XI ,255,Buah,2019,Kertas,,Buku Pelajaran,,," 3,978,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
11,05.17.01.09.017,, SENI BUDAYA SEMESTER 2 KELAS XI ,255,Buah,2019,Kertas,,Buku Pelajaran,,," 2,397,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
12,05.17.01.09.018,, AGAMA BUDHA KELAS XII ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 31,600 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
13,05.17.01.09.019,, AGAMA HINDU KELAS XII ,3,Buah,2019,Kertas,,Buku Pelajaran,,," 60,600 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
14,05.17.01.09.020,, AGAMA ISLAM KELAS XII ,233,Buah,2019,Kertas,,Buku Pelajaran,,," 4,706,600 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
15,05.17.01.09.021,, AGAMA KHATOLIK KELAS XII ,3,Buah,2019,Kertas,,Buku Pelajaran,,," 37,200 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
16,05.17.01.09.022,, AGAMA KRISTEN  KELAS XII ,15,Buah,2019,Kertas,,Buku Pelajaran,,," 208,500 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
17,05.17.01.09.023,, MATEMATIKA KELAS XII ,255,Buah,2019,Kertas,,Buku Pelajaran,,," 4,411,500 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
18,05.17.01.09.024,, PENJASORKES KELAS XII ,255,Buah,2019,Kertas,,Buku Pelajaran,,," 4,029,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
19,05.17.01.09.025,, PRAKARYA KELAS XII ,255,Buah,2019,Kertas,,Buku Pelajaran,,," 5,023,500 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
20,05.17.01.09.026,, PKN KELAS XI ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 38,400 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
21,05.17.01.09.027,, BAHASA INDONESIA KELAS XI ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 59,800 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
22,05.17.01.09.028,, MATEMATIKA KELAS XI ,3,Buah,2019,Kertas,,Buku Pelajaran,,," 51,300 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
23,05.17.01.09.029,, BAHASA INGGRIS KELAS XI ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 26,000 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
24,05.17.01.09.030,, SENI BUDAYA KELAS XI ,2,Buah,2019,Kertas,,Buku Pelajaran,,," 29,200 ",BOS TW 2,Baik,-,-,,,,Di Siswa,kemdikbud
